2020-08-11 09:41:38 INFO  Driver:11 - The application has started
2020-08-11 20:34:43 INFO  Driver:11 - The application has started.
2020-08-11 20:34:43 INFO  Driver:26 - The application has closed.
2020-08-11 21:06:30 INFO  Driver:11 - The application has started.
2020-08-11 21:06:30 INFO  Driver:27 - The application has closed.
2020-08-13 09:19:22 INFO  Driver:18 - The application has started.
2020-08-13 09:19:22 INFO  Driver:49 - The application has closed.
2020-08-13 09:21:56 INFO  Driver:18 - The application has started.
2020-08-13 09:21:59 INFO  Driver:24 - connection succesful
2020-08-13 09:21:59 INFO  Driver:49 - The application has closed.
2020-08-17 18:31:09 INFO  Driver:23 - The application has started.
2020-08-17 18:31:11 INFO  Driver:35 - connection successful
2020-08-17 18:31:11 INFO  Driver:41 - The application has closed.
2020-08-17 20:44:37 INFO  Driver:26 - The application has started.
2020-08-17 20:44:38 INFO  Driver:38 - Connection successful
2020-08-17 20:44:38 INFO  Driver:44 - The application has closed.
2020-08-17 20:52:01 INFO  Driver:26 - The application has started.
2020-08-17 20:52:02 INFO  Driver:38 - Connection successful
2020-08-17 20:52:02 INFO  Driver:44 - The application has closed.
2020-08-17 20:53:05 INFO  Driver:26 - The application has started.
2020-08-17 20:53:05 INFO  Driver:38 - Connection successful
2020-08-17 20:53:05 INFO  Driver:44 - The application has closed.
2020-08-18 12:10:22 INFO  AccountService:166 - adding a user: User [id=0, firstName=melia, lastName=m, email=m, password=m, userType=customer]
2020-08-18 12:30:06 INFO  AccountService:51 - list in insert account: [User [id=2, firstName=a, lastName=b, email=d, password=f, userType=d], User [id=3, firstName=p, lastName=d, email=e, password=a, userType=a], User [id=4, firstName=melia, lastName=m, email=m, password=m, userType=customer], User [id=1, firstName=Olivia, lastName=Raymond, email=oliva@gmail.com, password=Soccer, userType=customer]]
2020-08-18 12:30:06 INFO  AccountService:64 - Adding account: Account [accountISd=0, status=1, accountType=CHECKING, balance=0.0, userId=0, user =User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]]with a new User:User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]
2020-08-18 12:30:06 INFO  AccountService:138 - Retrieving user accounts
2020-08-18 12:30:07 INFO  AccountService:138 - Retrieving user accounts
2020-08-18 12:34:59 INFO  AccountService:51 - list in insert account: [User [id=2, firstName=a, lastName=b, email=d, password=f, userType=d], User [id=3, firstName=p, lastName=d, email=e, password=a, userType=a], User [id=4, firstName=melia, lastName=m, email=m, password=m, userType=customer], User [id=1, firstName=Olivia, lastName=Raymond, email=oliva@gmail.com, password=Soccer, userType=customer]]
2020-08-18 12:34:59 INFO  AccountService:64 - Adding account: Account [accountISd=0, status=1, accountType=CHECKING, balance=0.0, userId=0, user =User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]]with a new User:User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]
2020-08-18 12:34:59 INFO  AccountService:138 - Retrieving user accounts
2020-08-18 12:35:00 INFO  AccountService:138 - Retrieving user accounts
2020-08-18 14:45:56 INFO  AccountService:51 - list in insert account: [User [id=2, firstName=a, lastName=b, email=d, password=f, userType=d], User [id=3, firstName=p, lastName=d, email=e, password=a, userType=a], User [id=4, firstName=melia, lastName=m, email=m, password=m, userType=customer], User [id=1, firstName=Olivia, lastName=Raymond, email=oliva@gmail.com, password=Soccer, userType=customer]]
2020-08-18 14:45:56 INFO  AccountService:64 - Adding account: Account [accountISd=0, status=1, accountType=CHECKING, balance=0.0, userId=0, user =User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]]with a new User:User [id=4, firstName=melia, lastName=m, email=null, password=m, userType=customer]
2020-08-18 14:45:57 INFO  AccountService:143 - Retrieving user accounts
2020-08-18 14:46:06 INFO  Driver:26 - The application has started.
